title	id
"La Vie en Rose"	98
Mother of Pearl, If I Had You	257
Google's driverless car	901
The ghastly tragedy of the suburbs	103
What squatter cities can teach us	105
Human-centered design	104
3 clues to understanding your brain	154
A look inside the brain in real time	207
Underwater astonishments	176
Visualizing the wonder of a living cell	125
Free or cheap Wii Remote hacks	215
Salvation (and profit) in greentech	109
A critical look at geoengineering against climate change	160
A commodities exchange for Ethiopia	155
Rethink the desktop with BumpTop	111
We can be Buddhas	112
The habits of happiness	157
A memorial at Ground Zero	113
Let's rethink America's military strategy	114
A string quartet plays "Blue Room"	115
Tour Microsoft's Virtual Earth	116
New insights on poverty	117
An escape from poverty	411
The jungle search for viruses	414
Memes and "temes"	235
It's time to question bio-engineering	895
Experiments that hint of longer lives	1065
The web as art	267
Flip your thinking on AIDS in Africa	122
Spore, birth of a game	123
Are games better than life?	307
DNA folding, in detail	283
How to get (a new) hip	126
Tales of passion	172
The lost art of letter-writing	170
Africa's cheetahs versus hippos	127
Aid versus trade	128
Aid for Africa? No thanks.	139
How I built a windmill	129
A hero of the Congo forest	253
Telling stories from Africa	132
The story of Ezra	322
How I became an activist	281
"Woza"	135
The mystery box	175
An Iraq war movie crowd-sourced from soldiers	143
The sticky wonder of gecko feet	163
The joy of lexicography	138
What our language habits reveal	141
The ancestor of language	239
The search for humanity's roots	144
A dig for humanity's origins	266
Designing for simplicity	145
Toward a science of simplicity	674
A flight on solar wings	147
This is Saturn	148
My magic moves	149
Juggling as art ... and science	226
Life at 30,000 feet	150
Building "self-aware" robots	151
Fashion and creativity	339
The anthropology of mobile phones	153
Design and the Elastic Mind	312
How electroshock therapy changed me	156
The extraordinary power of ordinary people	373
Depression, the secret we share	1646
Laws that choke creativity	158
Playing with DNA that self-assembles	159
Using biology to rethink the energy challenge	161
The case for optimism	162
6 ways mushrooms can save the world	224
Design and destiny	165
CERN's supercollider	221
Winning the oil endgame	167
A performance of "Mathemagic"	168
Brain magic	262
Why aren't we more compassionate?	169
Remember to say thank you	299
My wish: Once Upon a School	203
We're worried about local warming ... in your lap	173
Where does creativity hide?	219
Life in the deep oceans	290
Treat design as art	177
A master architect asks, Now what?	178
My days as a young rebel	202
"Peace on Earth"	252
Rebuilding a neighborhood with beauty, dignity, hope	180
The life-long learner	181
The music wars	182
An unusual glimpse at celebrity	183
TED's nonprofit transition	184
The idea behind Zipcar (and what comes next)	185
A song of the city	186
An illustrated journey through Rome	187
A plant's-eye view	188
Institutions vs. collaboration	256
The antidote to apathy	911
The untouchable music of the theremin	190
The story of Project Orion	191
Building uniqueness	192
Juggle and jest	194
A parable for Kenya	195
Model rocketry	196
From mach-20 glider to hummingbird drone	1187
A preview of the WorldWide Telescope	197
A powerful idea about ideas	198
5 predictions, from 1984	200
One Laptop per Child, two years on	247
My wish: Find the next Einstein in Africa	205
A computer that works like the brain	270
The call to learn	208
"M'Bifo"	209
"Kounandi"	237
The search for the true face of Leonardo	210
Tidying up art	337
Sputnik mania	211
Questioning the universe	213
World-class health care	218
A hospital tour in Nigeria	233
Making sense of string theory	220
Shedding light on dark matter	273
Wake up! It's They Might Be Giants!	222
Can we domesticate germs?	225
A thought experiment on the intelligence of crows	227
Archeology, animal photography, BBQ ...	236
The birth of the computer	240
Healing through diet	314
A mobile fridge for vaccines	244
Surprising stats about child carseats	245
"Clonie"	248
"The Dog Song"	278
A performance with breath, music, passion	249
Stephen Hawking's zero g flight	250
The story of a girl	251
Animate characters by evolving them	254
What happens when you lose everything	255
Let's look for life in the outer solar system	258
The design of the universe	341
My year of living biblically	261
The art of misdirection	1579
The magic of the placebo	636
The new era of positive psychology	263
The wonder of Zulu wire art	264
On humanity	265
A tour of modern architecture	268
The math and magic of origami	271
Blindfold origami and cello	272
Close-up card magic with a twist	276
Dog-friendly dog training	277
Two poems about what dogs think (probably)	1771
Depressed dogs, cats with OCD — what animal madness means for us humans	1805
Great piano performances, recreated	279
Kids can teach themselves	280
A talking, squawking parrot	282
Our next giant leap	284
The web is more than "better TV"	285
What we think we know	286
How to survive a nuclear attack	288
A free digital library	289
Once upon a time, my mother ...	291
The camel's hump	292
The moral roots of liberals and conservatives	294
Suddenly, my body	996
How to pitch to a VC	296
Health and the human mind	297
The psychology of evil	298
Playtime with Pleo, your robotic dinosaur friend	300
Human nature and the blank slate	301
Robots will invade our lives	302
Politics and religion are technologies	304
Moving photos of extreme drug-resistant TB	306
The face of AIDS in Africa	318
Lessons from past presidents	308
Playing invisible turntables	310
An 8-dimensional model of the universe	311
On glamour	313
Nature vs. humans	316
Flow, the secret to happiness	317
Why do societies collapse?	319
Toys and materials from the future	321
Play with smart materials	1457
Hack a banana, make a keyboard!	1506
The balancing act of compassion	323
The profound journey of compassion	324
Compassion at the dinner table	325
The evolution of compassion	328
Expanding your circle of compassion	327
A flight through the ocean	329
The power and the danger of online crowds	330
Walk the earth ... my 17-year vow of silence	331
The science of scent	333
Science and democracy	334
A complicated hero in the war on dictatorship	335
The story behind the Mars Rovers	336
The Long Now	338
A tour of Nollywood, Nigeria's booming film industry	340
What I'm worried about, what I'm excited about	342
A foie gras parable	343
Do the green thing	344
The coming neurological epidemic	345
The mysterious lives of giant trees	346
Life in Second Life	347
The future of cars	348
A future beyond traffic gridlock	964
The future we're building -- and boring	2441
Demo: The Orb	349
The joyful tradition of mountain music	350
Fiddling in reel time	378
The playful search for beauty	351
Sculpting waves in wood and time	1219
A plea for bees	352
Why bees are disappearing	1581
Every city needs healthy honey bees	1300
My library of human imagination	353
Why we make bad decisions	354
The price of happiness	355
There might just be life on Mars	356
The science of sync	357
Taking OLPC to Colombia	358
The hunt for General Tso	359
Play! Experiment! Discover!	360
My journey in design	361
Digging up dinosaurs	362
My dream of a flying car	363
Organic algorithms in architecture	364
Why great architecture should tell a story	2118
Ways of seeing	365
Pirates, nurses and other rebel designers	2198
The visual magic of comics	366
The art and craft of bread	367
What consumers want	368
Great design is serious, not solemn	369
Design and discovery	370
My life in typefaces	1726
Intricate beauty by design	714
Tools for a better world	371
Genomics 101	372
Using our practical wisdom	838
Hypersonic sound and other inventions	374
High-altitude wind energy from kites!	410
A theory of Earth's mass extinctions	375
Changing my legs - and my mindset	376
My 12 pairs of legs	402
Solving medical mysteries	377
There are no mistakes on the bandstand	1085
A solar energy system that tracks the sun	379
Mosquitos, malaria and education	380
Your elusive creative genius	381
Using design to make ideas new	382
Toy tiles that talk to each other	383
Our loss of wisdom	384
Our buggy moral code	406
The next species of human	385
The El Sistema music revolution	386
El Sistema's top youth orchestra	387
My wish: Protect our oceans	388
Join the SETI search	389
How Benjamin Button got his face	390
Before Avatar ... a curious boy	630
Seas of plastic	391
A dive into the reef's Twilight Zone	392
My underground art explorations	393
How public spaces make cities work	1717
A park underneath the hustle and bustle of New York City	1817
The voices of Twitter users	394
Why not make video games for girls?	395
How to restore a rainforest	396
Conserving the canopy	397
Learning from dirty jobs	398
Piano jazz that rocks	399
3 ways good design makes you happy	400
Meet the SixthSense interaction	401
Play is more than just fun	403
The next web	404
How we can find ourselves in data	2425
Cute, sexy, sweet, funny	405
My obsession with objects and the stories they tell	407
What is retro-futurism?	408
Old books reborn as art	1911
How to grow fresh air	409
Cool tricks your phone can do	412
The difference between winning and succeeding	413
Poetry of youth and age	415
Can design save newspapers?	416
Extreme wingsuit flying	417
The Airstream, restyled	418
Military robots and the future of war	419
Scenes from "My Architect"	420
A prediction for the future of Iran	421
How bacteria "talk"	422
The beautiful math of coral	430
A theory of everything	423
Behind the lies of Holocaust denial	2442
Our antisocial phone tricks	424
Your phone company is watching	1296
A new ecosystem for electric cars	425
To upgrade is human	426
Stunning data visualization in the AlloSphere	427
Smash fear, learn anything	428
Why you should define your fears instead of your goals	2472
9 life lessons from rock climbing	429
Rethinking the way we sit down	431
Reporting crisis via texting	432
Does racism affect how you vote?	433
Comics of bygone New York	434
How ideas trump crises	435
Growing evidence of brain plasticity	436
A one-woman global village	437
Lessons from the 1918 flu	438
What went wrong at the LHC	439
The mathematics of war	440
Teach arts and sciences together	441
How art, technology and design inform creative leaders	1352
Anti-gravity sculpture	442
What comes after An Inconvenient Truth?	443
We need to feed the whole world	444
The tribes we lead	445
Chaos and harmony on piano	446
Insights on HIV, in stunning data visuals	447
Ideas for India's future	448
A full-band beatbox	449
Are we in control of our own decisions?	451
10 things you didn't know about orgasm	452
Could a Saturn moon harbor life?	453
A supercharged motorcycle design	454
Don't eat the marshmallow!	455
Build a tower, build a team	669
The psychology of time	475
The world's English mania	456
A passionate, personal case for education	457
Let's use video to reinvent education	885
Why we're storing billions of seeds	458
Playing "Pink Noise" on guitar	459
A call to reinvent liberal arts education	460
A university for the coming singularity	461
A wide-angle view of fragile Earth	462
Odes to vice and consequences	463
The world in 2200	464
Are droids taking our jobs?	1338
A plug for smart power outlets	465
Eco-friendly drywall	466
A demo of wireless electricity	501
Happiness and its surprises	467
Learning from the gecko's tail	468
Success is a continuous journey	469
Life in Biosphere 2	470
How social media can make history	471
How cults rewire the brain	472
Surgery's past, present and robotic future	473
An electrifying organ performance	474
New rules for rebuilding a broken nation	476
You are the future of philanthropy	477
My trek to the South Pole	478
Teach statistics before calculus!	479
Life lessons through tinkering	480
17 words of architectural inspiration	481
The design genius of Charles + Ray Eames	482
3 ways the brain creates meaning	483
Escaping the Khmer Rouge	484
A next-gen cure for killer infections	485
4 environmental 'heresies'	486
Playing with space and light	487
A better way to harvest bone marrow	488
Exploring the mind of a killer	489
Skin color is an illusion	490
Wiring a web for global good	491
Global ethic vs. national interest	563
A kinder, gentler philosophy of success	492
Art that looks back at you	493
I believe we evolved from aquatic apes	494
Are we ready for neo-evolution?	920
Evolution's gift of play, from bonobo apes to humans	894
Hold your breath for micro-sculpture	495
How to make filthy water drinkable	496
Why the world needs charter cities	497
Biomimicry in action	498
The music of a war child	499
The puzzle of motivation	500
Let my dataset change your mindset	502
A multimedia theatrical adventure	503
One seed at a time, protecting the future of food	504
Adjustable liquid-filled eyeglasses	505
Post-crash, investing in a better world	506
An economic reality check	782
Making sound visible through cymatics	507
I leapt from the stratosphere. Here's how I did it	2040
Time-lapse proof of extreme ice loss	509
Inside an Antarctic time machine	750
How I swam the North Pole	510
My mind-shifting Everest swim	741
Let's save the last pristine continent	1896
How we read each other's minds	511
Hypnotic South Asian improv music	512
How global crime networks work	513
3 warp-speed architecture tales	514
An inventory of the invisible	515
What hallucination reveals about our minds	516
"Wait It Out"	517
How the Net aids dictatorships	519
Let's take back the Internet!	978
How I harnessed the wind	520
Build a School in the Cloud	1445
A third way to think about aid	522
Mapping the future of countries	523
Designers -- think big!	524
Let's revive the Golden Rule	525
How spectroscopy could reveal alien life	526
The power of time off	527
How food shapes our cities	528
Tribal leadership	529
The danger of a single story	530
Optical illusions show how we see	531
Claim your "manspace"	532
New York -- before the City	533
Robots that "show emotion"	534
Life lessons from an ad man	535
A brain in a supercomputer	536
The 4 ways sound affects us	537
The post-crisis consumer	538
Animating a photo-real digital face	539
Lead like the great conductors	540
1.3m reasons to re-invent the syringe	541
Navigating our global future	542
Architecture that repairs itself?	544
The year I was homeless	545
Symmetry, reality's riddle	546
The modern euphonium	547
How the Internet enables intimacy	548
Why our screens make us less happy	2487
The refugees of boom-and-bust	549
Human trafficking is all around you. This is how it works	2013
The science behind a climate headline	550
Photographing the landscape of oil	551
The surprising spread of Idol TV	552
Why nations should pursue soft power	562
Shape-shifting tech will change work as we know it	2135
Science-inspired design	554
Learning from leadership's missing manual	555
East vs. West -- the myths that mystify	556
Learn to use the 13th-century astrolabe	557
Asia's rise -- how and when	558
Transition to a world without oil	559
Turning dunes into architecture	560
Dance to change the world	561
A whistleblower you haven't heard	868
How we turned the tide on domestic violence (Hint: the Polaroid helped)	1671
The inside story of the Paris climate agreement	2186
The ancient ingenuity of water harvesting	565
The art of puzzles	566
The fight against sex slavery	567
A one-man world summit	568
The art of the interview	569
How low-cost eye care can be world-class	570
Pop culture in the Arab world	571
The intricate economics of terrorism	572
Photographing the hidden story	573
How to make a splash in social media	574
Dragonflies that fly across oceans	575
Metaphorically speaking	576
A new way to fight corruption	577
Fusion is energy's future	578
My message of peace from Pakistan	579
What's the right thing to do?	580
The lost art of democratic debate	703
Engineering a better life for all	581
My solar-powered adventure	582
The neurons that shaped civilization	583
Exposing the invisible	584
How to live to be 100+	585
The real danger lurking in the water	586
An all-star set	587
Really achieving your childhood dreams	588
The power of vulnerability	837
The uniqueness of humans	589
What Bernie Madoff couldn't steal from me	590
How we rescued the "dancing" bears"	591
Kids, take charge	592
Making maps to fight disaster, build economies	593
Stories of Haiti	594
All things are Moleeds	595
Maps that show us who we are (not just where we are)	2335
How I held my breath for 17 minutes	596
10 young Indian artists to watch	597
Growing new organs	598
Rhythm is everything, everywhere	599
Growing up in the universe	600
What teachers make	601
Your health depends on where you live	602
A warm embrace that saves lives	605
The surprisingly logical minds of babies	1988
Weird, or just different?	606
How to revive a neighborhood: with imagination, beauty and art	1944
The fringe benefits of failure	607
How to live before you die	1030
Solving social problems with a nudge	608
The big idea my brother inspired	609
A lab the size of a postage stamp	610
A new strategy in the war on cancer	611
The painter and the pendulum	612
How to expose the corrupt	613
Teach every child about food	614
Augmented-reality maps	615
The next age of government	616
How a start-up in the White House is changing business as usual	2175
The opportunity of adversity	617
Innovating to zero!	618
Technology's epic story	619
Four ways to fix a broken legal system	620
The wireless future of medicine	621
The world needs all kinds of minds	622
How autism freed me to be myself	1869
How brains learn to see	623
My 5 lives as an artist	624
Shake up your story	1010
Watch me play ... the audience!	625
The riddle of experience vs. memory	626
The rise of cricket, the rise of India	627
Is Pivot a turning point for web exploration?	628
Physics is fun to imagine	629
In the Internet age, dance evolves ...	631
Ballroom dance that breaks gender roles	2303
Plug into your hard-wired happiness	632
The year open data went worldwide	633
Take Turns	634
How I fell in love with a fish	635
Do what you love (no excuses!)	637
Suspended animation is within our grasp	638
Take health care off the mainframe	639
Parrots, the universe and everything	640
Gaming can make a better world	641
Massively multi-player… thumb-wrestling?	1625
Medical miracle on Everest	642
We are the stories we tell ourselves	643
Science can answer moral questions	644
The fight to end rare-animal trafficking in Brazil	645
The dawn of de-extinction. Are you ready?	1455
Let's simplify legal jargon!	646
The right to understand	1054
Why we need to go back to Mars	647
Music is medicine, music is sanity	648
Why I do theater	649
How to combat modern slavery	650
Photos that bear witness to modern slavery	1313
Teaching one child at a time	651
And now, the real news	652
How to start a movement	653
What adults can learn from kids	654
Our failing schools. Enough is enough!	1500
When games invade real life	655
Sex, drugs and HIV -- let's get rational	656
The emotion behind invention	657
My seven species of robot -- and how we created them	658
A robot that flies like a bird	985
Every pollen grain has a story	659
Singing old poems to life	660
The danger of science denial	661
Photos that changed the world	662
The tradeoffs of building green	663
How art gives shape to cultural change	664
A choir as big as the Internet	665
Glowing life in an underwater world	666
Homeopathy, quackery and fraud	667
Bio-lab on a microchip	668
Political change with pen and paper	670
Coding a better government	1167
Radical women, embracing tradition	671
Computing a theory of all knowledge	672
Why I'm rowing across the Pacific	673
Lies, damned lies and statistics (about TEDTalks)	675
Social experiments to fight poverty	676
How great leaders inspire action	677
How we wrecked the ocean	678
Hooked by an octopus	1132
India's hidden hotbeds of invention	679
"Love Is a Loaded Pistol"	680
The hidden influence of social networks	681
Could this laser zap malaria?	682
Glimpses of a pristine ocean	683
Math class needs a makeover	684
It's time for "The Talk"	685
Why believe in others	686
Why I'm a weekday vegetarian	688
Pay attention to penguins	689
Planning for the end of oil	690
The political chemistry of oil	753
Watch me unveil "synthetic life"	691
Lessons from fashion's free culture	693
Inside a school for suicide bombers	694
Songs of secrets and city lights	696
Re-examining the remix	697
Reach into the computer and grab a pixel	1539
The best computer interface? Maybe ... your hands	1730
The ocean's glory -- and horror	699
The case for anonymity online	700
How web video powers global innovation	766
Why we need the explorers	701
How to engineer a viral music video	702
Why videos go viral	1157
How poachers became caretakers	704
What I learned from Nelson Mandela	1639
How to fight desertification and reverse climate change	1448
Sweat the small stuff	705
Debate: Does the world need nuclear energy?	706
How architecture helped music evolve	707
The pattern behind self-deception	708
How YouTube thinks about copyright	709
The intriguing sound of marine mammals	710
Let's raise kids to be entrepreneurs	711
How to run a company with (almost) no rules	1913
Fighting cancer with dance	712
Measuring what makes life worthwhile	713
Education innovation in the slums	715
A second opinion on developmental disorders	716
Legos for grownups	717
How cognitive surplus will change the world	718
Meet BRCK, Internet access built for Africa	1528
Retrofitting suburbia	719
Hidden toxins in the fish we eat	720
A 3D atlas of the universe	721
Don't build your home, grow it!	722
Leather and meat without killing animals	1583
Fractals and the art of roughness	723
What's so sexy about math?	2220
Obesity + hunger = 1 global food issue	724
Life science in prison	725
Global population growth, box by box	726
The oil spill's unseen villains -- and victims	727
When ideas have sex	728
Listening to global voices	729
The politics of fiction	730
Why the world needs WikiLeaks	731
Superheroes inspired by Islam	732
How we found hundreds of potential Earth-like planets	733
A headset that reads your brainwaves	734
Know thyself, with a brain scanner	857
The bio-future of joint replacement	735
The oil spill's toxic trade-off	737
What matters more than your talents	738
Wiring an interactive ocean	739
A monkey economy as irrational as ours	740
How big brands can help save biodiversity	742
Our century's greatest injustice	743
The case for same-sex marriage	744
Meet Milo, the virtual boy	745
The Axis of Evil Middle East Comedy Tour	746
Did you hear the one about the Iranian-American?	747
The game layer on top of the world	748
The beauty of data visualization	749
The empathic civilization	751
Learning from Sherman the shark	752
What physics taught me about marketing	754
Let the environment guide our development	756
The technology of the heart	757
Keep your goals to yourself	758
The world's oldest living things	759
The child-driven education	760
Art of substance and absence	761
An independent diplomat	762
Why the live arts matter	763
What does the future hold? 11 characters offer quirky answers	1736
This is broken	764
Discovering ancient climates in oceans and ice	765
Our natural sleep cycle is nothing like what we do now	767
How social networks predict epidemics	768
Hurdy-gurdy for beginners	769
How pig parts make the world turn	770
Where good ideas come from	771
Mothers helping mothers fight HIV	772
Why I am an HIV/AIDS activist	773
The shape-shifting future of the mobile phone	774
Shh! Sound health in 8 steps	775
5 ways to listen better	990
The early birdwatchers	776
The quantified self	777
I am my connectome	778
Bringing peace to the minds of Afghanistan	779
How Mr. Condom made Thailand a better place for life and love	780
Are mushrooms the new plastic?	781
Tagging tuna in the deep ocean	783
The good news of the decade? We're winning the war against child mortality	784
The best gift I ever survived	785
The roots of plant intelligence	786
What nonprofits can learn from Coca-Cola	787
Haiti's disaster of engineering	788
The art of the eco-mindshift	789
A message to gay teens: It gets better	791
Break the silence for suicide attempt survivors	957
Poverty, money -- and love	792
The brain in your gut	793
Tough truths about plastic pollution	794
The power of cartoons	795
(Nothing But) Flowers with string quartet	796
Breakthrough designs for ultra-low-cost products	797
Global power shifts	798
The global power shift	1102
Sustainable seafood? Let's get smart	799
Natural pest control ... using bugs!	800
The magnificence of spider silk	1083
Glorious visions in animation and performance	801
7 ways games reward the brain	802
E-voting without fraud	803
Saving the ocean one island at a time	804
Why climate change is a threat to human rights	2051
Re-engineering the brain	805
A one-man orchestra of the imagination	806
Teaching design for change	807
The path to ending ethnic conflicts	808
America's native prisoners of war	809
The hidden reason for poverty the world needs to address now	1960
Making global labor fair	810
We need to talk about an injustice	1164
Simplifying complexity	811
Teaching kids real math with computers	812
A Darwinian theory of beauty	813
How beauty feels	1034
What a bike ride can teach you	814
My green school dream	815
A teacher growing green in the South Bronx	1303
Making law on the high seas	816
Protecting the brain against concussion	817
Women, wartime and the dream of peace	818
Why work doesn't happen at work	819
Creative houses from reclaimed stuff	820
How painting can transform communities	1859
Be an artist, right now!	1437
What's wrong with our food system	821
The walk from "no" to "yes"	822
Take "the Other" to lunch	847
Teaching with the World Peace Game	917
Why not eat insects?	823
How I taught rats to sniff out land mines	824
A vision for sustainable restaurants	825
A feminine response to Iceland's financial crash	826
Women entrepreneurs, example not exception	1124
A call to men	827
Violence against women -- it's a men's issue	1514
The demise of guys?	995
A police chief with a difference	828
The secret US prisons you've never heard of before	2068
New data on the rise of women	829
Why we have too few women leaders	835
How to learn? From mistakes	830
Every kid needs a champion	1493
Let's talk parenting taboos	831
The case for collaborative consumption	832
Changing education paradigms	833
Life lessons from big cats	834
My invention that made peace with lions	1465
So we leaned in ... now what?	1659
Listening to shame	1177
Gaming to re-engage boys in learning	848
How to succeed? Get more sleep	839
Why do we sleep?	1568
On reading the Koran	840
The doubt essential to faith	1532
Faith versus tradition in Islam	945
Your brain on improv	841
Building the musical muscle	1077
A test that finds 3x more breast tumors, and why it's not available to you	842
Open-source cancer research	1046
The 3 A's of awesome	843
A realistic vision for world peace	844
We are all cyborgs now	845
How I built a toaster -- from scratch	846
We can recycle plastic	1031
Why lunch ladies are heroes	1804
Addicted to risk	849
Singing after a double lung transplant	850
Doctors make mistakes. Can we talk about that?	1123
The economic injustice of plastic	851
Visualizing the medical data explosion	852
Silicon-based comedy	853
Understanding the rise of China	854
It's time to redesign medical data	855
Let's pool our medical data	1357
Drawing on humor for change	856
Visualizing ourselves ... with crowd-sourced data	942
The council of dads	858
Reviving New York's rivers -- with oysters!	859
We are makers	860
Social media and the end of gender	861
Are we born to run?	862
The new bionics that let us run, climb and dance	1710
Poems of war, peace, women, power	863
How to make work-life balance work	864
The rise of personal robots	865
Mother and daughter doctor-heroes	866
On being a woman and a diplomat	873
Reconnecting with compassion	869
The linguistic genius of babies	870
What do babies think?	1033
A word game to communicate in any language	1695
Inspiring a life of immersion	871
The future of business is the "mesh"	872
How to use experts -- and when not to	874
Saving faces: A facial surgeon's craft	875
Curating humanity's heritage	876
Understanding cancer through proteomics	877
A modern take on piano, violin, cello	878
A dance in a hurricane of paper, wind and light	1877
A historic moment in the Arab world	879
The attitudes that sparked Arab Spring	1246
My wish: Use art to turn the world inside out	880
One year of turning the world inside out	1235
Inside the Egyptian revolution	881
Let's design social media that drives real change	2117
