source,target
The surprising science of happiness,The riddle of experience vs. memory
The paradox of choice,How to make hard choices 
The paradox of choice,The art of choosing
The paradox of choice,Our unhealthy obsession with choice
The paradox of choice,How to make choosing easier
The paradox of choice,Why you should define your fears instead of your goals
The paradox of choice,Why we make bad decisions
Meet the future of cancer research,The future of early cancer detection?
Meet the future of cancer research,Can we eat to starve cancer?
Meet the future of cancer research,How I'm preparing to get Alzheimer's
Meet the future of cancer research,Fighting a contagious cancer
Meet the future of cancer research,We can start winning the war against cancer
Meet the future of cancer research,Treating cancer with electric fields
A roadmap to end aging,Your genes are not your fate
A roadmap to end aging,The potential of regenerative medicine
A roadmap to end aging,Meet the future of cancer research
A roadmap to end aging,"How young blood might help reverse aging. Yes, really"
A roadmap to end aging,A philosophical quest for our biggest problems
A roadmap to end aging,To upgrade is human
How mobile phones can fight poverty,"The ""bottom billion"""
How mobile phones can fight poverty,Patient capitalism
How mobile phones can fight poverty,"One Laptop per Child, two years on"
How mobile phones can fight poverty,How open data is changing international aid
How mobile phones can fight poverty,The hidden force in global economics: sending money home
How mobile phones can fight poverty,Should you donate differently?
Invest in Africa's own solutions,"In praise of macro -- yes, macro -- finance in Africa"
Invest in Africa's own solutions,Why invest in Africa
Invest in Africa's own solutions,Want to help Africa? Do business here
Invest in Africa's own solutions,Patient capitalism
Invest in Africa's own solutions,Social experiments to fight poverty
Invest in Africa's own solutions,A third way to think about aid
Why we should invest in a free press,Invest in Africa's own solutions
Why we should invest in a free press,My journey into movies that matter
Why we should invest in a free press,Fight injustice with raw video
Why we should invest in a free press,Social media and the end of gender
Why we should invest in a free press,"Poverty, money -- and love"
Why we should invest in a free press,What really motivates people to be honest in business
How to rebuild a broken state,Want to help Africa? Do business here
How to rebuild a broken state,We need money for aid. So let’s print it.
How to rebuild a broken state,New rules for rebuilding a broken nation
How to rebuild a broken state,Time to end the war in Afghanistan
How to rebuild a broken state,"The ""bottom billion"""
How to rebuild a broken state,Doesn't everyone deserve a chance at a good life?
The real future of space exploration,I'm going to the moon. Who's with me?
The real future of space exploration,The astonishing hidden world of the deep ocean
The real future of space exploration,Our next giant leap
The real future of space exploration,A plane you can drive
The real future of space exploration,From mach-20 glider to hummingbird drone
The real future of space exploration,A flight on solar wings
Why did I ski to the North Pole?,The surprising thing I learned sailing solo around the world
Why did I ski to the North Pole?,A leap from the edge of space
Why did I ski to the North Pole?,The joy of surfing in ice-cold water
Why did I ski to the North Pole?,To the South Pole and back — the hardest 105 days of my life
Why did I ski to the North Pole?,Why bother leaving the house?
Why did I ski to the North Pole?,Let's save the last pristine continent
My wish: Three actions for Africa,How to educate leaders? Liberal arts
My wish: Three actions for Africa,Patient capitalism
My wish: Three actions for Africa,Want to help Africa? Do business here
My wish: Three actions for Africa,How I became an activist
My wish: Three actions for Africa,Why invest in Africa
My wish: Three actions for Africa,How Africa can keep rising
My wish: Manufactured landscapes and green education,Turning powerful stats into art
My wish: Manufactured landscapes and green education,My wish: Let my photographs bear witness
My wish: Manufactured landscapes and green education,The story of life in photographs
My wish: Manufactured landscapes and green education,The generation that's remaking China
My wish: Manufactured landscapes and green education,The voices of China's workers
My wish: Manufactured landscapes and green education,3 warp-speed architecture tales
My wish: Three unusual medical inventions,"Luke, a new prosthetic arm for soldiers"
My wish: Three unusual medical inventions,The potential of regenerative medicine
My wish: Three unusual medical inventions,Robots inspired by cockroach ingenuity
My wish: Three unusual medical inventions,"Parkinson's, depression and the switch that might turn them off"
My wish: Three unusual medical inventions,Ultrasound surgery -- healing without cuts
My wish: Three unusual medical inventions,A new way to heal hearts without surgery
How juries are fooled by statistics,The best stats you've ever seen
How juries are fooled by statistics,Why people believe weird things
How juries are fooled by statistics,Flip your thinking on AIDS in Africa
How juries are fooled by statistics,Learning from the gecko's tail
How juries are fooled by statistics,"The hunt for ""unexpected genetic heroes"""
How juries are fooled by statistics,What really motivates people to be honest in business
Why people believe weird things,A new way to explain explanation
Why people believe weird things,"10 myths about psychology, debunked"
Why people believe weird things,What we think we know
Why people believe weird things,Play! Experiment! Discover!
Why people believe weird things,Why we should trust scientists
Why people believe weird things,The pursuit of ignorance
The accelerating power of technology,How technology evolves
The accelerating power of technology,How PhotoSynth can connect the world's images
The accelerating power of technology,Health and the human mind
The accelerating power of technology,A university for the coming singularity
The accelerating power of technology,What would happen if we upload our brains to computers?
The accelerating power of technology,Back to the future (of 1994)
How technology evolves,"The next 5,000 days of the web"
How technology evolves,The accelerating power of technology
How technology evolves,The anthropology of mobile phones
How technology evolves,Technology's epic story
How technology evolves,Are we ready for neo-evolution?
How technology evolves,Technology's long tail
Fight injustice with raw video,Why we should invest in a free press
Fight injustice with raw video,My journey into movies that matter
Fight injustice with raw video,My wish: Let my photographs bear witness
Fight injustice with raw video,An Iraq war movie crowd-sourced from soldiers
Fight injustice with raw video,Hidden cameras that film injustice in the world’s most dangerous places
Fight injustice with raw video,The story of Ezra
8 secrets of success,Do schools kill creativity?
8 secrets of success,5 dangerous things you should let your kids do
8 secrets of success,The paradox of choice
8 secrets of success,Success is a continuous journey
8 secrets of success,What I learned from 100 days of rejection
8 secrets of success,How to run a company with (almost) no rules
If I controlled the Internet,The  4 a.m. mystery
If I controlled the Internet,A story of mixed emoticons
If I controlled the Internet,My web playroom
If I controlled the Internet,The Internet could crash. We need a Plan B
If I controlled the Internet,The Web as random acts of kindness
If I controlled the Internet,Tracking our online trackers
The killer American diet that's sweeping the planet,What's wrong with what we eat
The killer American diet that's sweeping the planet,What's wrong with school lunches
The killer American diet that's sweeping the planet,How the news distorts our worldview
The killer American diet that's sweeping the planet,Healing through diet
The killer American diet that's sweeping the planet,How to live to be 100+
The killer American diet that's sweeping the planet,Why dieting doesn't usually work
The hidden world of shadow cities,Photographs of secret sites
The hidden world of shadow cities,Ingenious homes in unexpected places
The hidden world of shadow cities,My architectural philosophy? Bring the community into the process
The hidden world of shadow cities,Who belongs in a city?
The hidden world of shadow cities,Greening the ghetto
The hidden world of shadow cities,A practical way to help the homeless find work and safety
Global priorities bigger than climate change,How the news distorts our worldview
Global priorities bigger than climate change,The best stats you've ever seen
Global priorities bigger than climate change,Flip your thinking on AIDS in Africa
Global priorities bigger than climate change,My wish: Rebuilding Rwanda
Global priorities bigger than climate change,The inside story of the Paris climate agreement
Global priorities bigger than climate change,Doesn't everyone deserve a chance at a good life?
Dreams from endangered cultures,The worldwide web of belief and ritual
Dreams from endangered cultures,The story of life in photographs
Dreams from endangered cultures,Photos of endangered cultures
Dreams from endangered cultures,What the people of the Amazon know that you don't
Dreams from endangered cultures,Nature is everywhere -- we just need to learn to see it
Dreams from endangered cultures,The magic of the Amazon: A river that flows invisibly all around us
Photos of endangered cultures,Gorgeous portraits of the world's vanishing people
Photos of endangered cultures,What the people of the Amazon know that you don't
Photos of endangered cultures,Where is home?
Photos of endangered cultures,Tribal leadership
Photos of endangered cultures,How I work to protect women from honor killings
Photos of endangered cultures,The tribes we lead
Is this our final century?,10 ways the world could end
Is this our final century?,Progress is not a zero-sum game
Is this our final century?,Why do societies collapse?
Is this our final century?,Chemical scum that dream of distant quasars
Is this our final century?,Join the SETI search
Is this our final century?,Why we need the explorers
Progress is not a zero-sum game,The surprising decline in violence
Progress is not a zero-sum game,Is this our final century?
Progress is not a zero-sum game,The moral roots of liberals and conservatives
Progress is not a zero-sum game,Science can answer moral questions
Progress is not a zero-sum game,How to have better political conversations
Progress is not a zero-sum game,What your designs say about you
"How the ""ghost map"" helped end a killer disease",My wish: Help me stop pandemics
"How the ""ghost map"" helped end a killer disease",The freakonomics of crack dealing
"How the ""ghost map"" helped end a killer disease","Choice, happiness and spaghetti sauce"
"How the ""ghost map"" helped end a killer disease",Making sense of maps
"How the ""ghost map"" helped end a killer disease",New York -- before the City
"How the ""ghost map"" helped end a killer disease",Maps that show us who we are (not just where we are)
The era of open innovation,The new power of collaboration
The era of open innovation,The new open-source economics
The era of open innovation,Institutions vs. collaboration
The era of open innovation,Four principles for the open world
The era of open innovation,Two reasons companies fail -- and how to avoid them
The era of open innovation,The post-crisis consumer
"A dance of ""Symbiosis""",The story of life in photographs
"A dance of ""Symbiosis""","""Tembererana"""
"A dance of ""Symbiosis""",Four American characters
Four American characters,Letting go of God
Four American characters,If I controlled the Internet
Four American characters,"Aliens, love -- where are they?"
Four American characters,12 truths I learned from life and writing
Four American characters,A black man goes undercover in the alt-right
Four American characters,Behind the lies of Holocaust denial
Everyday inventions,Unleash your creativity in a Fab Lab
Everyday inventions,Simple designs to save a life
Everyday inventions,Designing objects that tell stories
Everyday inventions,Can we make things that make themselves?
Everyday inventions,"The emergence of ""4D printing"""
Everyday inventions,Computing a theory of all knowledge
Unleash your creativity in a Fab Lab,Simple designs to save a life
Unleash your creativity in a Fab Lab,Everyday inventions
Unleash your creativity in a Fab Lab,"One Laptop per Child, two years on"
Unleash your creativity in a Fab Lab,Meet the inventor of the electronic spreadsheet
Unleash your creativity in a Fab Lab,The self-organizing computer course
Unleash your creativity in a Fab Lab,Pointing to the future of UI
In praise of slowness,The paradox of choice
In praise of slowness,What's wrong with what we eat
In praise of slowness,The lost art of letter-writing
In praise of slowness,The art of stillness
In praise of slowness,Why our screens make us less happy
In praise of slowness,How to make work-life balance work
My wish: Rebuilding Rwanda,My wish: Three actions for Africa
My wish: Rebuilding Rwanda,Want to help Africa? Do business here
My wish: Rebuilding Rwanda,A hospital tour in Nigeria
My wish: Rebuilding Rwanda,Doesn't everyone deserve a chance at a good life?
My wish: Rebuilding Rwanda,World-class health care
My wish: Rebuilding Rwanda,No one should die because they live too far from a doctor
My wish: Build the Encyclopedia of Life,How humans and animals can live together
My wish: Build the Encyclopedia of Life,The story of life in photographs
My wish: Build the Encyclopedia of Life,A hero of the Congo forest
My wish: Build the Encyclopedia of Life,Meet the microscopic life in your home -- and on your face
My wish: Build the Encyclopedia of Life,Are we ready for neo-evolution?
My wish: Build the Encyclopedia of Life,"How bacteria ""talk"""
My wish: Let my photographs bear witness,My wish: Manufactured landscapes and green education
My wish: Let my photographs bear witness,Dreams from endangered cultures
My wish: Let my photographs bear witness,Turning powerful stats into art
My wish: Let my photographs bear witness,What I saw in the war
My wish: Let my photographs bear witness,A complicated hero in the war on dictatorship
My wish: Let my photographs bear witness,The path to ending ethnic conflicts
What separates us from chimpanzees?,The gentle genius of bonobos
What separates us from chimpanzees?,The emergent genius of ant colonies
What separates us from chimpanzees?,The shrimp with a kick!
What separates us from chimpanzees?,How humans and animals can live together
What separates us from chimpanzees?,What explains the rise of humans?
What separates us from chimpanzees?,Moral behavior in animals
How to get your ideas to spread,"Choice, happiness and spaghetti sauce"
How to get your ideas to spread,Technology's long tail
How to get your ideas to spread,Designing objects that tell stories
How to get your ideas to spread,The first secret of design is ... noticing
How to get your ideas to spread,How great leaders inspire action
How to get your ideas to spread,How to pitch to a VC
How we discovered DNA,My wish: Build the Encyclopedia of Life
How we discovered DNA,"Beauty, truth and ... physics?"
How we discovered DNA,Visualizing the wonder of a living cell
How we discovered DNA,Animations of unseeable biology
How we discovered DNA,The era of personal DNA testing is here
How we discovered DNA, How CRISPR lets us edit our DNA
Visual illusions that show how we (mis)think,"Art with wire, sugar, chocolate and string"
Visual illusions that show how we (mis)think,Why people believe weird things
Visual illusions that show how we (mis)think,Brain magic
Visual illusions that show how we (mis)think,Is there a real you?
Visual illusions that show how we (mis)think,Want to be happier? Stay in the moment
Visual illusions that show how we (mis)think,The surprising science of happiness
To invent is to give,Simple designs to save a life
To invent is to give,My wish: A call for open-source architecture
To invent is to give,Unleash your creativity in a Fab Lab
To invent is to give,Brilliant designs to fit more people in every city
To invent is to give,7 principles for building better cities
To invent is to give,A future beyond traffic gridlock
The life code that will reshape the future,On the verge of creating synthetic life
The life code that will reshape the future,How we discovered DNA
The life code that will reshape the future,"DNA folding, in detail"
The life code that will reshape the future,Sampling the ocean's DNA
The life code that will reshape the future,Experiments that hint of longer lives
The life code that will reshape the future,"Watch me unveil ""synthetic life"""
Happiness by design,Things I've learned in my life so far
Happiness by design,The illustrated woman
Happiness by design,Designing for simplicity
Happiness by design,The surprising science of happiness
Happiness by design,Want to be happier? Stay in the moment
Happiness by design,Happiness and its surprises
The route to a sustainable future,Cradle to cradle design
The route to a sustainable future,Biomimicry's surprising lessons from nature's engineers
The route to a sustainable future,Designing objects that tell stories
The route to a sustainable future,A smog vacuum cleaner and other magical city designs
The route to a sustainable future,My green agenda for architecture
The route to a sustainable future,Tools for a better world
How architecture can connect us,"Organic design, inspired by nature"
How architecture can connect us,The Blur Building and other tech-empowered architecture
How architecture can connect us,My wish: A call for open-source architecture
How architecture can connect us,Why great architecture should tell a story
How architecture can connect us,Why glass towers are bad for city life -- and what we need instead
How architecture can connect us,17 words of architectural inspiration
Great cars are great art,The real future of space exploration
Great cars are great art,Designing objects that tell stories
Great cars are great art,"Organic design, inspired by nature"
Great cars are great art,"The future race car -- 150mph, and no driver"
Great cars are great art,"If cars could talk, accidents might be avoidable"
Great cars are great art,Uber's plan to get more people into fewer cars
"Singing ""What I Want""","""Thula Mama"""
"Singing ""What I Want""","""Kiteflyer's Hill"""
"Singing ""What I Want""",Cape Breton fiddling in reel time
"Singing ""What I Want""",A new kind of music video
"Singing ""What I Want""","""Peace on Earth"""
"Singing ""What I Want""","On tennis, love and motherhood"
Design is in the details,Tales of creativity and play
Design is in the details,Designing objects that tell stories
Design is in the details,Designing for simplicity
Design is in the details,Designers -- think big!
Design is in the details,Why design should include everyone
Design is in the details,Human-centered design
"Art with wire, sugar, chocolate and string","My creations, a new form of life"
"Art with wire, sugar, chocolate and string",Moving sculpture
"Art with wire, sugar, chocolate and string",Visual illusions that show how we (mis)think
"Art with wire, sugar, chocolate and string",An unusual glimpse at celebrity
"Art with wire, sugar, chocolate and string",My obsession with objects and the stories they tell
"Art with wire, sugar, chocolate and string",Gorgeous portraits of the world's vanishing people
A philosophical quest for our biggest problems,Is this our final century?
A philosophical quest for our biggest problems,How technology evolves
A philosophical quest for our biggest problems,Progress is not a zero-sum game
A philosophical quest for our biggest problems,What would happen if we upload our brains to computers?
A philosophical quest for our biggest problems,A roadmap to end aging
A philosophical quest for our biggest problems,To upgrade is human
Biomimicry's surprising lessons from nature's engineers,Robots inspired by cockroach ingenuity
Biomimicry's surprising lessons from nature's engineers,The fractals at the heart of African designs
Biomimicry's surprising lessons from nature's engineers,6 ways mushrooms can save the world
Biomimicry's surprising lessons from nature's engineers,Biomimicry in action
Biomimicry's surprising lessons from nature's engineers,Using nature's genius in architecture
Biomimicry's surprising lessons from nature's engineers,Energy from floating algae pods
Sampling the ocean's DNA,On the verge of creating synthetic life
Sampling the ocean's DNA,A family tree for humanity
Sampling the ocean's DNA,"DNA folding, in detail"
Sampling the ocean's DNA,Genomics 101
Sampling the ocean's DNA,"Watch me unveil ""synthetic life"""
Sampling the ocean's DNA,Welcome to the genomic revolution
Software (as) art,The Web's secret stories
Software (as) art,A new kind of music video
Software (as) art,"Art with wire, sugar, chocolate and string"
Software (as) art,My journey in design
Software (as) art,"How art, technology and design inform creative leaders"
Software (as) art,Art that looks back at you
The gentle genius of bonobos,How humans and animals can live together
The gentle genius of bonobos,The shrimp with a kick!
The gentle genius of bonobos,The emergent genius of ant colonies
The gentle genius of bonobos,"Evolution's gift of play, from bonobo apes to humans"
The gentle genius of bonobos,"Why I keep speaking up, even when people mock my accent"
The gentle genius of bonobos,What separates us from chimpanzees?
The story of life in photographs,Dreams from endangered cultures
The story of life in photographs,How photography connects us
The story of life in photographs,Visualizing the wonder of a living cell
The story of life in photographs,Life in Biosphere 2
The story of life in photographs,The magic of the Amazon: A river that flows invisibly all around us
The story of life in photographs,How humans could evolve to survive in space
The shrimp with a kick!,Swim with the giant sunfish
The shrimp with a kick!,The gentle genius of bonobos
The shrimp with a kick!,The emergent genius of ant colonies
The shrimp with a kick!,Robots inspired by cockroach ingenuity
The shrimp with a kick!,"The new bionics that let us run, climb and dance"
The shrimp with a kick!,"The secrets of nature's grossest creatures, channeled into robots"
"Global warming's theme song, ""Manhattan in January""",The Jill and Julia Show
"Global warming's theme song, ""Manhattan in January""","""Black Men Ski"""
"Global warming's theme song, ""Manhattan in January""",Averting the climate crisis
"Global warming's theme song, ""Manhattan in January""",A whistleblower you haven't heard
"Global warming's theme song, ""Manhattan in January""",Dance to change the world
"Global warming's theme song, ""Manhattan in January""",How a penny made me feel like a millionaire
Casting a spell on the cello,Cape Breton fiddling in reel time
Casting a spell on the cello,"""What You've Got"""
Casting a spell on the cello,The untouchable music of the theremin
Casting a spell on the cello,"""Love Is a Loaded Pistol"""
Casting a spell on the cello,A one-man orchestra of the imagination
Casting a spell on the cello,You owe it to yourself to experience a total solar eclipse
The illusion of consciousness,Dangerous memes
The illusion of consciousness,How brain science will change computing
The illusion of consciousness,My stroke of insight
The illusion of consciousness,Our shared condition -- consciousness
The illusion of consciousness,How do you explain consciousness?
The illusion of consciousness,Your brain hallucinates your conscious reality
How to truly listen,The transformative power of classical music
How to truly listen,Inventing instruments that unlock new music
How to truly listen,The untouchable music of the theremin
How to truly listen,The DIY orchestra of the future
How to truly listen,How architecture helped music evolve
How to truly listen,The mad scientist of music
Cradle to cradle design,The route to a sustainable future
Cradle to cradle design,The Blur Building and other tech-empowered architecture
Cradle to cradle design,My green agenda for architecture
Cradle to cradle design,A smog vacuum cleaner and other magical city designs
Cradle to cradle design,My architectural philosophy? Bring the community into the process
Cradle to cradle design,Using nature's genius in architecture
The electricity metaphor for the web's future,"The next 5,000 days of the web"
The electricity metaphor for the web's future,The genesis of Google
The electricity metaphor for the web's future,The Web as a city
The electricity metaphor for the web's future,A demo of wireless electricity
The electricity metaphor for the web's future,A plug for smart power outlets
The electricity metaphor for the web's future,"The mind behind Tesla, SpaceX, SolarCity ..."
A mockingbird remix of TED2006,The  4 a.m. mystery
A mockingbird remix of TED2006,A powerful poem about what it feels like to be transgender
A mockingbird remix of TED2006,Are you human?
A mockingbird remix of TED2006,My web playroom
A mockingbird remix of TED2006,The joyful tradition of mountain music
A mockingbird remix of TED2006,A comic sendup of TED2006
"""Kiteflyer's Hill""","""What You've Got"""
"""Kiteflyer's Hill""",Casting a spell on the cello
"""Kiteflyer's Hill""",Cape Breton fiddling in reel time
"""Kiteflyer's Hill""",Home is a song I've always remembered
"""Kiteflyer's Hill""",12 truths I learned from life and writing
"""Kiteflyer's Hill""","""Love Is a Loaded Pistol"""
"""What You've Got""","""Kiteflyer's Hill"""
"""What You've Got""","Singing ""What I Want"""
"""What You've Got""","""M'Bifo"""
"""What You've Got""","The new bionics that let us run, climb and dance"
"""What You've Got""",Remaking my voice
"""What You've Got""",My 12 pairs of legs
Why would God create a tsunami?,My wish: The Charter for Compassion
Why would God create a tsunami?,On technology and faith
Why would God create a tsunami?,A life of purpose
Why would God create a tsunami?,Letting go of God
Why would God create a tsunami?,The balancing act of compassion
Why would God create a tsunami?,"Lose your ego, find your compassion"
Militant atheism,Letting go of God
Militant atheism,Let's teach religion -- all religion -- in schools
Militant atheism,Why people believe weird things
Militant atheism,Is religion good or bad? (This is a trick question)
Militant atheism,Atheism 2.0
Militant atheism,It's time to reclaim religion
A comic sendup of TED2006,A mockingbird remix of TED2006
